DATE_RECEIVED,PRODUCT_NAME,SUB_PRODUCT,ISSUE,SUB_ISSUE,CONSUMER_COMPLAINT_NARRATIVE,COMPANY_PUBLIC_RESPONSE,COMPANY,STATE_NAME,ZIP_CODE,TAGS,CONSUMER_CONSENT_PROVIDED,SUBMITTED_VIA,DATE_SENT_TO_COMPANY,COMPANY_RESPONSE_TO_CONSUMER,TIMELY_RESPONSE,CONSUMER_DISPUTED,COMPLAINT_ID
2013-07-29,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,,,SunTrust Banks or Inc.,FL,32818,,N/A,Referral,01-08-2013,Closed with explanation,Yes,Yes,475728
2013-07-29,Credit card,,Billing statement,,,,Citibank,OH,45247,,N/A,Referral,30-07-2013,Closed with explanation,Yes,Yes,469026
2013-07-29,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Bank of America,FL,33234,,N/A,Web,30-07-2013,Closed with non-monetary relief,Yes,No,469255
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Land/Home Financial Services,MI,48382,,N/A,Fax,06-08-2013,Closed with explanation,No,,454668
2013-07-29,Mortgage,FHA mortgage,Loan modification orcollection orforeclosure,,,,Nationstar Mortgage,GA,30041,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469293
2013-07-29,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,CIT Bank National Association,NY,11101,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,469487
2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,U.S. Bancorp,MN,55414,,N/A,Web,01-08-2013,Closed with non-monetary relief,Yes,No,469428
2013-07-29,Credit card,,Billing disputes,,,,Capital One,FL,32226,Servicemember,N/A,Web,29-07-2013,Closed with explanation,Yes,No,475777
2013-07-29,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Houston Home Loan or Inc.,TX,77386,,N/A,Web,30-08-2013,Closed with explanation,Yes,Yes,469513
2013-07-29,Mortgage,Other mortgage,Loan servicing or payments or escrow account,,,,Ocwen,NY,10038,,N/A,Web,13-08-2013,Closed,Yes,No,480183
2013-07-29,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,NY,11716,Older American or Servicemember,N/A,Phone,01-08-2013,Closed with explanation,Yes,No,469537
2013-07-29,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Fidelity National Information Services or Inc. (FNIS),CT,6514,,N/A,Referral,21-08-2013,Closed with explanation,Yes,No,469507
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,People's United Bank,CT,6514,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,469508
2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Bank of America,CA,95219,,N/A,Web,31-07-2013,Closed with non-monetary relief,Yes,No,470831
2013-07-29,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33326,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,469641
2013-07-30,Bank account or service,Savings account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NY,10469,,N/A,Web,01-08-2013,Closed with explanation,Yes,No,470665
2013-07-31,Bank account or service,Checking account,Account opening or closing or or management,,,,Wells Fargo & Company,GA,30680,,N/A,Web,01-08-2013,Closed with non-monetary relief,Yes,Yes,470863
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Ocwen,NY,11230,,N/A,Referral,30-07-2013,Closed with explanation,Yes,No,455630
2013-07-29,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,CA,95020,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,469660
2013-07-29,Credit reporting,,Incorrect information on credit report,Account status,,,Ocwen,MA,2126,,N/A,Referral,01-08-2013,Closed,Yes,No,469666
2013-07-31,Bank account or service,Checking account,Deposits and withdrawals,,,,Santander Bank US,NJ,7106,,N/A,Web,01-08-2013,Closed with explanation,Yes,No,470903
2013-07-31,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Encore Capital Group,NY,14212,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,487029
2013-07-29,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,Ocwen,IN,47265,Older American,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469678
2013-07-31,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,Citibank,CA,90045,,N/A,Web,31-07-2013,Closed with explanation,Yes,No,748242
2013-07-30,Debt collection,Other (i.e. phone or health club or etc.),Cont'd attempts collect debt not owed,Debt was paid,,,Franklin Collection Service or Inc.,IL,60440,,N/A,Phone,01-08-2013,Closed with explanation,Yes,No,469711
2013-07-31,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,HSBC North America Holdings Inc.,FL,32747,,N/A,Web,31-07-2013,Closed with explanation,Yes,Yes,482443
2013-07-30,Mortgage,Conventional fixed mortgage,Loan servicing or payments or escrow account,,,,EverBank,TN,37217,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469734
2013-07-30,Mortgage,Conventional adjustable mortgage (ARM),Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,CO,80206,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,469739
2013-07-30,Credit card,,Credit determination,,,,Bank of America,FL,34983,,N/A,Web,31-07-2013,Closed with explanation,Yes,Yes,469752
2013-07-30,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays PLC,SC,29412,,N/A,Web,29-07-2013,Closed with explanation,Yes,No,469755
2013-07-31,Credit reporting,,Incorrect information on credit report,Account terms,,,Capital One,GA,30126,,N/A,Web,02-08-2013,Closed with explanation,Yes,No,470928
2013-07-30,Mortgage,Conventional fixed mortgage,Loan modification orcollection orforeclosure,,,,Bank of America,CA,91320,,N/A,Web,30-07-2013,Closed with explanation,Yes,No,476001
2013-07-31,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,NC,28075,Servicemember,N/A,Referral,05-08-2013,Closed with explanation,Yes,No,470978
2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,IA,50325,,N/A,Postal mail,12-08-2013,Closed with explanation,Yes,No,469781
2013-07-31,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Experian,IL,60633,,N/A,Postal mail,02-08-2013,Closed with non-monetary relief,Yes,No,470951
2013-07-31,Debt collection,Other (i.e. phone or health club or etc.),Improper contact or sharing of info,Talked to a third party about my debt,,,Receivables Performance Management LLC,NY,11205,,N/A,Web,31-07-2013,Closed with explanation,Yes,Yes,470955
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,JPMorgan Chase & Co.,AL,36526,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,470091
2013-07-30,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NJ,7111,,N/A,Referral,19-08-2013,Closed with non-monetary relief,Yes,No,469792
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Wells Fargo & Company,CA,93111,,N/A,Referral,31-07-2013,Closed with explanation,Yes,No,470103
2013-07-30,Mortgage,Other mortgage,Loan modification orcollection orforeclosure,,,,Citibank,AL,36854,,N/A,Referral,31-07-2013,Closed with monetary relief,Yes,No,470206
